stat_id,Jewish Orthodox,Jewish Non-Orthodox,Muslim,Christian,Druze,Other,pop_thou
261,0.015,0.985,0,0,0,0,2.6
281,0.009,0.991,0,0,0,0,8.9
311,0.015,0.985,0,0,0,0,4.4
312,0.01,0.99,0,0,0,0,3.1
313,0.02,0.98,0,0,0,0,3.3
314,0.137,0.863,0,0,0,0,2.7
316,0.448,0.552,0,0,0,0,6.1
317,0.037,0.963,0,0,0,0,4.5
411,0.012,0.988,0,0,0,0,2.9
461,0.157,0.843,0,0,0,0,3.4
531,0.002,0.998,0,0,0,0,5
951,0,0,0,0,0,1,1.2
991,0.053,0.947,0,0,0,0,4.8
1661,0.019,0.981,0,0,0,0,4.6
1663,0.014,0.986,0,0,0,0,5.3
1681,0.014,0.986,0,0,0,0,6.2
1683,0.004,0.996,0,0,0,0,6.6
1711,0.006,0.994,0,0,0,0,5.5
1821,0.005,0.995,0,0,0,0,10
1953,0.006,0.994,0,0,0,0,2.6
1954,0.006,0.994,0,0,0,0,5.6
1955,0.035,0.965,0,0,0,0,2.6
2291,0.077,0.923,0,0,0,0,4.4
2292,0.004,0.996,0,0,0,0,3.4
2293,0.015,0.985,0,0,0,0,4.7
2401,0.019,0.981,0,0,0,0,2.1
2404,0.011,0.989,0,0,0,0,5.4
2406,0.006,0.994,0,0,0,0,4.8
2461,0.091,0.909,0,0,0,0,2.2
2462,0.079,0.921,0,0,0,0,5
2464,0.137,0.863,0,0,0,0,3.8
2465,0.724,0.276,0,0,0,0,3.6
2466,0.245,0.755,0,0,0,0,3.6
2467,0.101,0.899,0,0,0,0,5
2468,0.014,0.986,0,0,0,0,2.8
2761,0.005,0.995,0,0,0,0,2.7
4661,0.005,0.995,0,0,0,0,6.6
4692,0.007,0.993,0,0,0,0,4.3
4693,0.008,0.992,0,0,0,0,3
4721,0,0,1,0,0,0,5.8
4731,0,0,0,0,1,0,3.9
4732,0,0,1,0,0,0,3.8
4733,0,0,1,0,0,0,4.5
4751,0,0,1,0,0,0,0.6
4781,0,0,1,0,0,0,4.3
4782,0,0,1,0,0,0,4.6
4783,0,0,1,0,0,0,3.1
4801,0,0,0,0,1,0,4.8
4802,0,0,0,0,1,0,3.6
4803,0,0,0,0,1,0,2
4811,0,0,0,0,1,0,6.7
4812,0,0,0,0,1,0,2.6
4813,0,0,0,0,1,0,2.2
4814,0,0,0,1,0,0,5.1
4815,0,0,0,0,1,0,3
4821,0,0,1,0,0,0,7.8
4851,0,0,0,0,1,0,5.6
4871,0,0,0,1,0,0,2.9
4891,0,0,1,0,0,0,8.9
4921,0,0,1,0,0,0,8.7
4941,0,0,0,0,1,0,2.3
4942,0,0,0,0,1,0,1.8
4943,0,0,0,0,1,0,3
4944,0,0,0,0,1,0,2.4
4945,0,0,0,0,1,0,4.6
4946,0,0,0,0,1,0,3.4
4947,0,0,0,0,1,0,2.7
4948,0,0,0,0,1,0,1.5
4949,0,0,0,0,1,0,3.9
4961,0,0,0,0,1,0,5.4
4971,0,0,1,0,0,0,1.5
4981,0,0,1,0,0,0,3.7
4982,0,0,1,0,0,0,4.1
4983,0,0,1,0,0,0,4
4991,0,0,1,0,0,0,4.2
4992,0,0,1,0,0,0,2.6
4993,0,0,1,0,0,0,2.4
4994,0,0,1,0,0,0,2.7
4995,0,0,1,0,0,0,4.2
5021,0,0,0,0,1,0,4
5022,0,0,0,0,1,0,5.3
5023,0,0,0,0,1,0,5.2
5041,0,0,1,0,0,0,11.9
5051,0,0,1,0,0,0,2.7
5071,0,0,0,1,0,0,8.6
5081,0,0,1,0,0,0,2.9
5091,0,0,1,0,0,0,3.3
5092,0,0,1,0,0,0,4.1
5093,0,0,1,0,0,0,3.1
5094,0,0,1,0,0,0,3.3
5095,0,0,1,0,0,0,4.6
5101,0,0,1,0,0,0,4
5102,0,0,1,0,0,0,7.1
5103,0,0,1,0,0,0,2.2
5104,0,0,1,0,0,0,2.6
5111,0,0,1,0,0,0,6.7
5121,0,0,1,0,0,0,2.4
5141,0,0,1,0,0,0,0.9
5161,0,0,1,0,0,0,2.7
5162,0,0,1,0,0,0,5.2
5163,0,0,1,0,0,0,2.7
5164,0,0,1,0,0,0,6.8
5165,0,0,1,0,0,0,2.6
5166,0,0,1,0,0,0,3.4
5167,0,0,1,0,0,0,4
5168,0,0,1,0,0,0,2.7
5171,0,0,1,0,0,0,3.4
5181,0,0,0,1,0,0,2.8
5201,0,0,1,0,0,0,6.9
5211,0,0,1,0,0,0,2.2
5221,0,0,1,0,0,0,3.5
5222,0,0,1,0,0,0,2.1
5223,0,0,1,0,0,0,2.8
5224,0,0,1,0,0,0,2.1
5231,0,0,1,0,0,0,1.6
5241,0,0,1,0,0,0,1.8
5251,0,0,0,0,1,0,3.7
5261,0,0,1,0,0,0,2.1
5281,0,0,1,0,0,0,2.6
5291,0,0,1,0,0,0,4.2
5292,0,0,0,1,0,0,3.5
5293,0,0,1,0,0,0,3.6
5301,0,0,0,1,0,0,4.8
5311,0,0,1,0,0,0,4.6
5312,0,0,1,0,0,0,4
5313,0,0,1,0,0,0,3.6
5314,0,0,1,0,0,0,4.4
5315,0,0,1,0,0,0,4.1
5321,0,0,1,0,0,0,2.8
5322,0,0,1,0,0,0,4.6
5323,0,0,1,0,0,0,3.6
5351,0,0,0,1,0,0,2.9
5361,0,0,0,0,1,0,5.4
5371,0,0,1,0,0,0,3.1
5372,0,0,1,0,0,0,5.3
5373,0,0,1,0,0,0,2.5
5381,0,0,1,0,0,0,5.8
5391,0,0,1,0,0,0,1
5401,0,0,1,0,0,0,1.1
5411,0,0,1,0,0,0,4.3
5412,0,0,1,0,0,0,4.5
5413,0,0,1,0,0,0,3.2
5421,0,0,1,0,0,0,2.9
5422,0,0,1,0,0,0,3.3
5423,0,0,1,0,0,0,4.8
5424,0,0,1,0,0,0,6
5431,0,0,0,1,0,0,7.2
5461,0,0,0,0,1,0,0.8
5471,0,0,1,0,0,0,1.3
5651,0,1,0,0,0,0,3.2
5771,0.721,0.279,0,0,0,0,2.3
6271,0,0,1,0,0,0,8.4
6331,0,0,1,0,0,0,2.8
6341,0,0,1,0,0,0,3.5
6342,0,0,1,0,0,0,8
6343,0,0,1,0,0,0,5.9
6344,0,0,1,0,0,0,1
6351,0,0,1,0,0,0,3.1
6361,0,0,1,0,0,0,1.4
6371,0,0,1,0,0,0,10.5
6372,0,0,1,0,0,0,3
6373,0,0,1,0,0,0,3.5
6374,0,0,1,0,0,0,4.7
6381,0,0,1,0,0,0,3.4
6382,0,0,1,0,0,0,4.9
6383,0,0,1,0,0,0,4.9
6384,0,0,1,0,0,0,5
6491,0,0,1,0,0,0,1.7
6521,0,0,1,0,0,0,2.4
6541,0,0,1,0,0,0,3.3
6542,0,0,1,0,0,0,5.3
6543,0,0,1,0,0,0,3.4
6544,0,0,1,0,0,0,3.1
6581,0,0,1,0,0,0,2.4
6811,0.029,0.971,0,0,0,0,2.5
6812,0.038,0.962,0,0,0,0,4.7
6813,0.028,0.972,0,0,0,0,3.7
6814,0.155,0.845,0,0,0,0,7.9
6961,0.75,0.25,0,0,0,0,4.7
7091,0.696,0.304,0,0,0,0,2.5
8311,0.147,0.853,0,0,0,0,8.1
8741,0.103,0.897,0,0,0,0,4
8743,0.132,0.868,0,0,0,0,4
8745,0.04,0.96,0,0,0,0,3.4
8746,0.018,0.982,0,0,0,0,5.6
8747,0.008,0.992,0,0,0,0,1.8
8749,0.016,0.984,0,0,0,0,2
9131,0,0,1,0,0,0,4.9
9221,0.548,0.452,0,0,0,0,9
9441,0,0,1,0,0,0,6.7
9621,0,0,1,0,0,0,5.6
9751,0,0,1,0,0,0,6.2
9781,0,0,1,0,0,0,4.3
9901,0,0,1,0,0,0,0.5
9931,0,0,1,0,0,0,1.2
9941,0,0,1,0,0,0,1
9971,0,0,1,0,0,0,1.6
9981,0,0,1,0,0,0,7.4
10152,0.031,0.969,0,0,0,0,5.7
10155,0.009,0.991,0,0,0,0,4
10156,0.006,0.994,0,0,0,0,3.5
10202,0.006,0.994,0,0,0,0,3.7
10203,0.022,0.978,0,0,0,0,4.9
10204,0.016,0.984,0,0,0,0,2.4
10313,0.012,0.988,0,0,0,0,3.1
10314,0.007,0.993,0,0,0,0,3.8
10315,0.038,0.962,0,0,0,0,2.9
10316,0.054,0.946,0,0,0,0,4.3
10342,0.028,0.972,0,0,0,0,3.7
10343,0.043,0.957,0,0,0,0,3
10345,0.158,0.842,0,0,0,0,3.7
10346,0.028,0.972,0,0,0,0,4.9
10541,0,0,1,0,0,0,5.1
10542,0,0,1,0,0,0,2.6
10543,0,0,1,0,0,0,7
10591,0,0,1,0,0,0,16.2
10601,0,0,1,0,0,0,9.2
10631,0.016,0.984,0,0,0,0,3.6
10633,0.007,0.993,0,0,0,0,4.2
10634,0.075,0.925,0,0,0,0,5.1
10635,0.006,0.994,0,0,0,0,4.5
10636,0,0,0,1,0,0,3.2
10981,0.196,0.804,0,0,0,0,2.1
11131,0.002,0.998,0,0,0,0,5.5
11371,0.457,0.543,0,0,0,0,2.4
11611,0,0,1,0,0,0,4.1
11612,0,0,1,0,0,0,4
11613,0,0,1,0,0,0,6.2
11614,0,0,1,0,0,0,6.9
11615,0,0,1,0,0,0,3.1
11616,0,0,1,0,0,0,3.4
11617,0,0,1,0,0,0,5.8
11618,0,0,1,0,0,0,3.5
11619,0,0,1,0,0,0,4.4
11921,0,0,1,0,0,0,3.5
11922,0,0,1,0,0,0,4
11923,0,0,1,0,0,0,4.1
12241,0.007,0.993,0,0,0,0,2.6
12242,0.014,0.986,0,0,0,0,1.6
12243,0.008,0.992,0,0,0,0,2.2
12451,0,0,1,0,0,0,2.6
12461,0,0,1,0,0,0,1.3
12471,0.051,0.949,0,0,0,0,3.3
12861,0,0,1,0,0,0,7
12901,0,0,1,0,0,0,5.6
12921,0,0,1,0,0,0,5.1
12922,0,0,1,0,0,0,3.3
12923,0,0,1,0,0,0,5.2
12924,0,0,1,0,0,0,4.4
12931,0.01,0.99,0,0,0,0,2
12951,0,0,0,0,1,0,5.6
12961,0,0,0,0,1,0,7.2
13031,0,0,1,0,0,0,16
13042,0.004,0.996,0,0,0,0,5.1
13043,0.026,0.974,0,0,0,0,4.4
13044,0.004,0.996,0,0,0,0,4.2
13091,0.457,0.543,0,0,0,0,5.8
13092,0.358,0.642,0,0,0,0,5.8
13093,0.466,0.534,0,0,0,0,5.1
13094,0.902,0.098,0,0,0,0,5.5
13095,0.59,0.41,0,0,0,0,4.8
13097,0.739,0.261,0,0,0,0,6.9
13101,0.023,0.977,0,0,0,0,2.5
13191,0.008,0.992,0,0,0,0,5.2
13261,0,0,1,0,0,0,7.6
13271,0,0,1,0,0,0,1.6
13272,0,0,1,0,0,0,4
13273,0,0,1,0,0,0,3.1
13274,0,0,1,0,0,0,3.9
13311,0,0,1,0,0,0,1.2
13321,0,0,1,0,0,0,0.5
13331,0.503,0.497,0,0,0,0,2.1
13351,0,0,1,0,0,0,0.6
20241,0,0,1,0,0,0,0.9
20341,0.094,0.906,0,0,0,0,8.6
21005,0.006,0.994,0,0,0,0,4.5
21007,0.007,0.993,0,0,0,0,2.6
22002,0.027,0.973,0,0,0,0,3.2
22004,0.012,0.988,0,0,0,0,2.9
22005,0.007,0.993,0,0,0,0,3
22006,0.011,0.989,0,0,0,0,5.1
22009,0.006,0.994,0,0,0,0,4.5
23001,0.012,0.988,0,0,0,0,5.9
23003,0.005,0.995,0,0,0,0,4.6
24001,0.033,0.967,0,0,0,0,3
24002,0.016,0.984,0,0,0,0,2.6
24003,0.022,0.978,0,0,0,0,2.7
24008,0.076,0.924,0,0,0,0,1.9
25002,0.031,0.969,0,0,0,0,3.1
25003,0.006,0.994,0,0,0,0,3.2
25004,0.007,0.993,0,0,0,0,3.2
25006,0.009,0.991,0,0,0,0,4.1
25301,0.007,0.993,0,0,0,0,9.7
25501,0.014,0.986,0,0,0,0,2.7
25503,0.027,0.973,0,0,0,0,3.4
25504,0.009,0.991,0,0,0,0,9.3
25601,0.09,0.91,0,0,0,0,4.8
25602,0.026,0.974,0,0,0,0,3.6
25603,0.007,0.993,0,0,0,0,5
25605,0.016,0.984,0,0,0,0,4.9
25606,0.008,0.992,0,0,0,0,5.1
26201,0.011,0.989,0,0,0,0,5.6
26202,0.013,0.987,0,0,0,0,4.2
26402,0.067,0.933,0,0,0,0,4.6
26403,0.049,0.951,0,0,0,0,3.6
26404,0.058,0.942,0,0,0,0,4.3
26405,0.025,0.975,0,0,0,0,3.2
26406,0.028,0.972,0,0,0,0,3.1
26407,0.017,0.983,0,0,0,0,4
26409,0.008,0.992,0,0,0,0,2.8
26604,0.023,0.977,0,0,0,0,4.4
26605,0.014,0.986,0,0,0,0,4.5
26606,0.04,0.96,0,0,0,0,5
26607,0.025,0.975,0,0,0,0,4.4
27201,0,0,1,0,0,0,3
27202,0,0,1,0,0,0,1.7
27203,0,0,1,0,0,0,2.8
27204,0,0,1,0,0,0,8.1
27205,0,0,1,0,0,0,2.9
27208,0,0,1,0,0,0,3.8
27301,0,0,1,0,0,0,6.4
27302,0,0,1,0,0,0,5.4
27303,0,0,1,0,0,0,2.6
27304,0,0,1,0,0,0,2.7
27305,0,0,1,0,0,0,4.2
27307,0,0,1,0,0,0,5.1
28002,0.006,0.994,0,0,0,0,4.4
28003,0.016,0.984,0,0,0,0,3.5
28004,0.029,0.971,0,0,0,0,4.1
28005,0.026,0.974,0,0,0,0,2.2
28006,0.025,0.975,0,0,0,0,2.9
28008,0.016,0.984,0,0,0,0,3.6
35571,0.253,0.747,0,0,0,0,3.7
35601,0.194,0.806,0,0,0,0,3.4
35701,0.008,0.992,0,0,0,0,2.3
35702,0.024,0.976,0,0,0,0,2.9
35703,0.004,0.996,0,0,0,0,4.1
35704,0.022,0.978,0,0,0,0,4.1
35705,0.035,0.965,0,0,0,0,4.1
35741,0.691,0.309,0,0,0,0,5.3
36041,0.54,0.46,0,0,0,0,2.9
36111,0.377,0.623,0,0,0,0,6.5
36162,0.016,0.984,0,0,0,0,6
36164,0.291,0.709,0,0,0,0,3.3
36165,0.018,0.982,0,0,0,0,4.1
36166,0.037,0.963,0,0,0,0,2.4
36167,0.023,0.977,0,0,0,0,4.2
