date,0-4,5-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
21-02-20,4.37828E-09,4.37828E-09,2.18914E-08,5.25394E-08,3.28371E-08,2.84588E-08,3.0648E-08,2.40806E-08,1.97023E-08
22-02-20,0,0,0,0,0,0,0,0,0
23-02-20,0,0,0,0,0,0,0,0,0
24-02-20,0,0,0,0,0,0,0,0,0
25-02-20,0,0,0,0,0,0,0,0,0
26-02-20,2.18914E-09,2.18914E-09,1.09457E-08,2.62697E-08,1.64186E-08,1.42294E-08,1.5324E-08,1.20403E-08,9.85114E-09
27-02-20,4.37828E-09,4.37828E-09,2.18914E-08,5.25394E-08,3.28371E-08,2.84588E-08,3.0648E-08,2.40806E-08,1.97023E-08
28-02-20,4.37828E-09,4.37828E-09,2.18914E-08,5.25394E-08,3.28371E-08,2.84588E-08,3.0648E-08,2.40806E-08,1.97023E-08
29-02-20,6.56743E-09,6.56743E-09,3.28371E-08,7.88091E-08,4.92557E-08,4.26883E-08,4.5972E-08,3.61208E-08,2.95534E-08
01-03-20,4.37828E-09,4.37828E-09,2.18914E-08,5.25394E-08,3.28371E-08,2.84588E-08,3.0648E-08,2.40806E-08,1.97023E-08
02-03-20,0,0,0,0,0,0,0,0,0
03-03-20,6.56743E-09,6.56743E-09,3.28371E-08,7.88091E-08,4.92557E-08,4.26883E-08,4.5972E-08,3.61208E-08,2.95534E-08
04-03-20,2.18914E-09,2.18914E-09,1.09457E-08,2.62697E-08,1.64186E-08,1.42294E-08,1.5324E-08,1.20403E-08,9.85114E-09
05-03-20,8.75657E-09,8.75657E-09,4.37828E-08,1.05079E-07,6.56743E-08,5.69177E-08,6.1296E-08,4.81611E-08,3.94046E-08
06-03-20,4.37828E-09,4.37828E-09,2.18914E-08,5.25394E-08,3.28371E-08,2.84588E-08,3.0648E-08,2.40806E-08,1.97023E-08
07-03-20,3.28371E-08,3.28371E-08,1.64186E-07,3.94046E-07,2.46278E-07,2.13441E-07,2.2986E-07,1.80604E-07,1.47767E-07
08-03-20,4.37828E-09,4.37828E-09,2.18914E-08,5.25394E-08,3.28371E-08,2.84588E-08,3.0648E-08,2.40806E-08,1.97023E-08
09-03-20,4.37828E-08,4.37828E-08,2.18914E-07,5.25394E-07,3.28371E-07,2.84588E-07,3.0648E-07,2.40806E-07,1.97023E-07
10-03-20,3.94046E-08,3.94046E-08,1.97023E-07,4.72855E-07,2.95534E-07,2.5613E-07,2.75832E-07,2.16725E-07,1.7732E-07
11-03-20,4.81611E-08,4.81611E-08,2.40806E-07,5.77933E-07,3.61208E-07,3.13047E-07,3.37128E-07,2.64886E-07,2.16725E-07
12-03-20,6.78634E-08,6.78634E-08,3.39317E-07,8.14361E-07,5.08975E-07,4.41112E-07,4.75044E-07,3.73249E-07,3.05385E-07
13-03-20,7.44308E-08,7.44308E-08,3.72154E-07,8.9317E-07,5.58231E-07,4.838E-07,5.21016E-07,4.0937E-07,3.34939E-07
14-03-20,7.88091E-08,7.88091E-08,3.94046E-07,9.45709E-07,5.91068E-07,5.12259E-07,5.51664E-07,4.3345E-07,3.54641E-07
15-03-20,1.16025E-07,1.16025E-07,5.80123E-07,1.39229E-06,8.70184E-07,7.54159E-07,8.12172E-07,6.38135E-07,5.2211E-07
16-03-20,1.42294E-07,1.42294E-07,7.11471E-07,1.70753E-06,1.06721E-06,9.24912E-07,9.9606E-07,7.82618E-07,6.40324E-07
