city,total,sector,county,calibration_county
אבו גוש ידידה קריית יערים (מוסד),6728,secular,11,11
אבו סנאן,766,arab,24,24_arab
אבו קורינאת,2838,arab,62_arab,62_arab
אבו תלול,20553,secular,62_arab,62_arab
אבטין,1931,arab,31,31_arab
אביחיל,1523,secular,41,41_jewish
אבן יהודה,12828,secular,41,41_jewish
אבן ספיר,1169,secular,11,11
אדירים ברק גדיש דבורה מלאה ניר יפה רם-און אומן חבר,15703,secular,23,23_jewish
אדמית עראמשה,1091,secular,24,24_jewish
אודים,4387,secular,41,41_jewish
אום אל-פחם,31017,arab,32,32_arab
אום בטין אל סייד,10084,arab,62_arab,62_arab
אומץ גן יאשיה,2281,secular,41,41_jewish
אופקים,22321,secular,62,62_jewish
אור הנר איבים ניר עם סעד מפלסים ארז כפר עזה פארק תעשיות ספירים,4887,secular,61,61
אור יהודה,29716,secular,51,51
אור עקיבא,18854,secular,32,32_jewish
אורה,3959,secular,11,11
אורים,1125,secular,62,62_jewish
אורנית,9857,secular,71,71
אזור,15246,secular,51,51
אחיסמך,4143,secular,43,43
אייל,13169,secular,42,42_secular
אילון גורן יערה גורנות הגליל,3116,secular,24,24_jewish
אילנייה שדה אילן,4503,secular,22,22_jewish
אילת,43425,secular,62,62_jewish
אכסאל,1096,arab,23,23_arab
אל -עריאן,2559,arab,32,32_arab
אל -רום שעל אודם קלע מרום גולן,4827,secular,29,29
אלון הגליל חנתון,4323,secular,23,23_jewish
אלון מורה ברכה יצהר איתמר,119951,secular,71,71
אלונים אלוני אבא בית לחם הגלילית,8243,secular,23,23_jewish
אלי-עד חספין אבני איתן גשור נוב רמת מגשימים,2692,secular,29,29
אליכין,3925,secular,41,41_jewish
אליקים,1019,secular,23,23_jewish
אלישיב,458,secular,41,41_jewish
אלישמע,2474,secular,42,42_secular
אלמגור אמנון כרכום,1968,secular,21,21
אלמוג קליה בית הערבה,2855,secular,71,71
אלעד,22641,orth,42,42_haredi
אלעזר נווה דניאל,14146,secular,71,71
אלפי מנשה,29070,secular,71,71
אלקנה שערי תקווה עץ אפרים,34103,secular,71,71
אמציה לכיש שקף שומרייה אליאב בני דקלים נטע כרמי קטיף,37467,secular,61,61
אעבלין,9549,arab,24,24_arab
אפק,3685,secular,24,24_jewish
אפרת,21438,secular,71,71
אריאל,30739,secular,71,71
"אשבול קלחים בית הגדי יושיביה מבועים ניר משה ניר עקיבא שדה צבי תלמי בילו פעמי תש""ז זרועה""",7408,secular,62,62_jewish
אשדוד,150399,secular,61,61
אשחר יובלים שורשים אשבל ערב אל נעים,5029,secular,24,24_jewish
אשכולות טנא,25106,secular,71,71
אשל הנשיא,43,secular,62,62_jewish
אשלים רוח מדבר,184,secular,62,62_jewish
אשקלון,117426,secular,61,61
אשתאול מסילת ציון,1969,secular,11,11
באקה אל-גרביה,12622,arab,32,32_arab
באר אורה יטבתה קטורה אילות גרופית סמר יהל אליפז לוטן שחרות,2530,secular,62,62_jewish
באר טוביה שדה עוזיהו בית עזרא שתולים אמונים גבעתי עזריקם עזר עד הלום אורות,16140,secular,61,61
באר יעקב,24212,secular,43,43
באר שבע,183287,secular,62,62_jewish
בארותיים עולש,3711,secular,41,41_jewish
בועיינה-נוגידאת,7263,arab,23,23_arab
בוקעאתא,5915,secular,29,29
בורגתה חניאל,3269,secular,41,41_jewish
בורסה רמת גן וגבעתיים,5546,secular,51,51
בחן,2748,secular,41,41_jewish
ביצרון חצור-אשדוד נווה מבטח מפעלי כנות כנות,9365,secular,61,61
ביר אל-מכסור,3659,secular,24,24_jewish
ביר הדאג,1849,arab,62_arab,62_arab
בירייה עמוקה,2025,secular,21,21
בית אורן,5804,secular,32,32_jewish
בית אל,7905,secular,71,71
בית אלעזרי,4203,secular,44,44
בית אריה,15986,secular,71,71
בית ברל,608,secular,42,42_secular
