city,4/20/2020,4/23/2020,4/24/2020,4/26/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/4/2020,5/5/2020,5/6/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020
אבו גוש,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
אבו סנאן,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
אבו רובייעה (שבט),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
אבן יהודה,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31
אום אל-פחם,59,72,73,74,78,78,78,79,79,79,80,80,80,80,80
אופקים,37,41,43,45,45,45,45,45,45,45,45,45,45,45,45
אור יהודה,135,136,138,138,141,141,141,141,141,141,141,143,143,144,145
אור עקיבא,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
אורנית,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
אזור,30,30,30,30,32,32,32,32,32,32,32,32,32,32,32
אילת,21,21,21,23,23,23,23,23,25,25,25,25,25,25,25
אכסאל,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
אלעד,324,354,361,371,381,381,383,385,387,387,387,387,387,387,387
אלפי מנשה,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
אפרת,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
אריאל,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
אשדוד,252,255,257,269,281,281,283,283,284,285,285,285,286,287,287
אשקלון,249,254,258,260,260,260,260,260,262,262,262,262,262,262,262
באקה אל-גרביה,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20
באר טוביה,,,,,17,17,17,17,17,17,17,17,17,17,17
באר יעקב,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22
באר שבע,158,163,166,168,171,171,173,175,178,180,184,184,185,185,185
בדואי ללא שיוך רשות,,,,,0,0,8,20,20,20,20,20,20,20,20
בועיינה-נוג'ידאת,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
בוקעאתא,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ביר אל-מכסור,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
בית אל,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
בית אריה,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
בית דגן,5,5,5,5,5,5,5,5,5.25,5.5,5.75,6,7,7,8
בית שאן,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
בית שמש,323,392,410,436,458,470,478,487,495,496,497,513,513,513,517
ביתר עילית,221,241,255,270,276,277,282,285,285,285,285,292,292,293,293
בני ברק,2390,2588,2635,2747,2813,2816,2831,2846,2861,2864,2871,2893,2894,2895,2901
"בני עי""ש",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
בנימינה-גבעת עדה,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
"בסמ""ה",4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
בסמת טבעון,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
בענה,20,22,22,22,34,34,34,34,34,34,34,34,34,34,34
בת חפר,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
בת ים,161,161,163,163,169,169,171,171,175,175,175,176,176,178,178
ג'דיידה-מכר,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ג'ולס,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ג'לג'וליה,7,9,12,12,13,13,13,13,13,13,13,13,13,13,13
ג'סר א-זרקא,38,43,43,43,43,43,43,43,43,43,43,43,43,43,44
ג'ת,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
גבע בנימין,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10
גבעת זאב,29,39,47,48,52,52,52,52,52,53,53,54,54,54,54
גבעת שמואל,40,40,40,41,41,41,41,41,41,41,41,41,42,42,42
גבעתיים,35,37,37,40,41,41,41,41,41,41,41,41,41,41,43
גדרה,54,54,54,54,54,54,54,54,54,54,54,54,54,54,55
גולן,,,,,25,25,25,25,25,25,25,25,25,25,25
גוש עציון,,,,,62,62,62,62,62,62,62,62,62,62,62
