date,resp
06-03-20,1
07-03-20,1
08-03-20,1
09-03-20,1
10-03-20,1
11-03-20,1
12-03-20,2
13-03-20,2
14-03-20,2
15-03-20,2
16-03-20,4
17-03-20,5
18-03-20,5
19-03-20,6
20-03-20,12
21-03-20,15
22-03-20,15
23-03-20,29
24-03-20,31
25-03-20,34
26-03-20,37
27-03-20,38
28-03-20,43
29-03-20,54
30-03-20,63
31-03-20,76
01-04-20,76
02-04-20,83
03-04-20,95
04-04-20,107
05-04-20,106
06-04-20,107
07-04-20,113
08-04-20,122
09-04-20,119
10-04-20,125
11-04-20,132
12-04-20,123
13-04-20,133
14-04-20,136
15-04-20,132
16-04-20,140
17-04-20,129
18-04-20,118
19-04-20,109
20-04-20,114
21-04-20,113
22-04-20,111
