cell_id,mean,std,min,max
11,0.269553486,0.060183094,0.163245617,0.313845725
21,0.305618907,0.067353928,0.172872181,0.354416979
22,0.379769104,0.051839722,0.28075858,0.41979235
23,0.357334962,0.046417035,0.270225149,0.393955494
24,0.388516861,0.053070581,0.293301853,0.444552403
29,0.283013613,0.043141299,0.197223163,0.317801106
31,0.266842587,0.074132797,0.130012044,0.324173485
32,0.334016661,0.063843594,0.217400919,0.382464372
41,0.305952071,0.066155833,0.18357078,0.356830836
42,0.26074608,0.077952898,0.11791454,0.317535632
43,0.302240525,0.085127076,0.143489546,0.362407949
44,0.269721782,0.092418069,0.101126484,0.337894164
51,0.216942298,0.079894527,0.074018984,0.278865415
61,0.302646988,0.08466404,0.141318198,0.362117555
62,0.319991535,0.070923858,0.186439779,0.368723589
71,0.351518,0.044022717,0.274107847,0.404230323
11_betshemesh,0.287544265,0.099308583,0.095955771,0.3515412
51_bb,0.111611513,0.049138199,0.026348537,0.149878047
51_tlv,0.182914795,0.063746771,0.07055101,0.231811103
62_arab,0.458343428,0.035850813,0.387458746,0.488797076
